Film,Race,Female,Male
The Fellowship Of The Ring,Dwarf,0,431
The Fellowship Of The Ring,Elf,1229,971
The Fellowship Of The Ring,Hobbit,14,3644
The Fellowship Of The Ring,Man,0,1995
The Fellowship Of The Ring,Orc,0,27
The Fellowship Of The Ring,Wizard,0,2881
