Film,Race,Female,Male
The Return Of The King,Dwarf,0,313
The Return Of The King,Elf,183,510
The Return Of The King,Hobbit,2,2673
The Return Of The King,Man,268,2459
The Return Of The King,Orc,0,466
The Return Of The King,Wizard,0,1807
