Gender,Film,Dwarf,Elf,Hobbit,Man,Orc,Wizard
Female,The Fellowship Of The Ring,0,1229,14,0,0,0
Female,The Two Towers,0,331,0,401,0,0
Female,The Return Of The King,0,183,2,268,0,0
